t,vx_cmd,vy_cmd,wz_cmd,lin_vx,lin_vy,lin_vz,gyro_x,gyro_y,gyro_z,projg_x,projg_y,projg_z,jpos_hip_yaw_l,jpos_hip_roll_l,jpos_hip_pitch_l,jpos_knee_pitch_l,jpos_ankle_pitch_l,jpos_hip_yaw_r,jpos_hip_roll_r,jpos_hip_pitch_r,jpos_knee_pitch_r,jpos_ankle_pitch_r,jvel_hip_yaw_l,jvel_hip_roll_l,jvel_hip_pitch_l,jvel_knee_pitch_l,jvel_ankle_pitch_l,jvel_hip_yaw_r,jvel_hip_roll_r,jvel_hip_pitch_r,jvel_knee_pitch_r,jvel_ankle_pitch_r,jtgt_hip_yaw_l,jtgt_hip_roll_l,jtgt_hip_pitch_l,jtgt_knee_pitch_l,jtgt_ankle_pitch_l,jtgt_hip_yaw_r,jtgt_hip_roll_r,jtgt_hip_pitch_r,jtgt_knee_pitch_r,jtgt_ankle_pitch_r,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,gait_phase,infer_ms
0.0000,0.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,-0.0036,0.0020,0.1206,0.0072,0.9927,0.3973,-0.0950,-1.4941,0.9528,-1.3192,-0.4004,0.1054,1.4593,-1.0005,1.2511,0.0814,0.0582,-0.0620,-0.0194,0.0543,-0.0000,-0.0931,-0.0039,-0.0698,-0.0078,0.4190,0.0000,-1.4004,1.1052,-1.4204,-0.3777,0.2000,1.5670,-0.9288,1.2059,0.1898,1.6179,-1.6526,1.1756,-0.5055,0.2226,1.1390,-1.3253,0.8450,-0.1804,0.0278,0.57
0.0290,0.1200,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0206,-0.0102,0.0158,0.0404,0.2999,0.9531,0.3991,-0.0814,-1.4820,0.9630,-1.3333,-0.3981,0.1194,1.4659,-0.9932,1.2384,0.1435,0.9344,0.4885,0.5855,-0.9151,0.1512,0.8647,0.3567,0.4032,-0.8608,0.5000,0.0000,-1.4207,1.0421,-1.2627,-0.4532,0.1086,1.5874,-0.9083,1.2091,1.1176,1.3611,-1.7375,0.3180,1.0409,-0.5322,0.0859,-1.6068,1.7817,-0.0473,0.0556,0.22
0.0570,0.1200,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1994,-0.2378,0.5374,0.1704,-0.2596,0.9506,0.4111,-0.0593,-1.4787,0.9682,-1.3334,-0.4041,0.1278,1.4736,-0.9830,1.2157,0.7173,0.6553,-0.0116,0.0465,0.7832,-0.4381,-0.2482,0.2598,0.4188,-0.7134,0.5000,0.0000,-1.4411,0.9152,-1.2556,-0.5000,0.1576,1.6078,-0.9916,1.1038,1.6561,2.0633,-1.2334,-1.1791,1.0346,-1.2613,0.5760,-1.3807,0.1156,-1.7269,0.0833,0.19
0.0850,0.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0392,-0.0064,0.8245,0.2883,-0.3883,0.8753,0.4313,-0.0464,-1.4726,0.9522,-1.3168,-0.4206,0.1284,1.4833,-0.9794,1.1856,0.6281,0.3412,0.3296,-0.9151,0.5545,-0.7251,0.2404,0.7251,-0.1396,-1.4540,0.5000,0.0000,-1.3894,0.9198,-1.2485,-0.5000,0.2000,1.6078,-1.1209,1.1562,1.3806,3.0487,-0.2795,-2.6492,1.7454,-1.7027,1.9530,-1.1136,-3.7779,-2.2910,0.1111,0.20
0.1130,0.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.1735,0.2501,0.8462,-0.0766,-0.1438,0.9866,0.4473,-0.0378,-1.4578,0.9302,-1.3060,-0.4386,0.1408,1.5086,-0.9945,1.1620,0.6359,0.2830,0.5312,-0.6514,0.3257,-0.5506,0.5971,0.9344,-0.8802,-0.4304,0.4699,0.0000,-1.3952,0.9515,-1.2414,-0.5000,0.1719,1.6214,-1.1722,1.2285,0.6992,2.5080,-0.1333,-0.7247,2.4437,-1.0414,0.7187,-0.5578,-2.1348,-0.4044,0.1389,0.19
0.1410,0.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.3116,-0.3713,0.5605,-0.0496,-0.0096,0.9987,0.4564,-0.0322,-1.4408,0.9202,-1.2985,-0.4498,0.1499,1.5342,-1.0254,1.1618,0.1667,0.1551,0.5079,0.0582,0.2792,-0.2365,0.1667,0.8181,-1.3106,0.3063,0.4538,0.0000,-1.3565,0.9645,-1.2342,-0.4069,0.1049,1.5958,-1.2200,1.3070,0.5385,1.7985,0.4568,-0.6305,2.2187,-0.0692,0.0489,-0.5083,-1.5934,0.2563,0.1667,0.18
0.1690,0.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.1588,-0.6859,0.2332,-0.0380,-0.1426,0.9890,0.4566,-0.0301,-1.4220,0.9228,-1.2899,-0.4472,0.1439,1.5478,-1.0653,1.1797,-0.0310,0.0737,0.8065,0.2171,0.3179,0.5157,-0.5583,0.2869,-1.5316,0.9461,0.4513,0.0000,-1.3728,1.0134,-1.2271,-0.3025,0.0800,1.5490,-1.2231,1.3410,0.5127,1.3164,0.4983,-0.1729,1.8870,0.9753,-0.2005,-0.6714,-0.6092,0.4795,0.1944,0.18
0.1970,0.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.1807,-0.8175,0.0914,0.0605,0.0922,0.9939,0.4554,-0.0285,-1.4054,0.9337,-1.2822,-0.4195,0.1303,1.5468,-1.1039,1.2053,-0.0233,0.1008,0.3839,0.6359,0.2016,1.2214,-0.5777,-0.3063,-1.1981,0.8840,0.4447,-0.0913,-1.3787,0.9423,-1.2200,-0.3000,0.1199,1.4946,-1.2080,1.3681,0.4469,0.0866,0.6424,-0.9071,1.8877,1.5365,0.1994,-0.9096,-0.1138,0.6421,0.2222,0.18
0.2250,0.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0508,-0.9092,0.1521,0.2557,-0.1444,0.9559,0.4539,-0.0384,-1.3943,0.9404,-1.2763,-0.3897,0.1229,1.5313,-1.1328,1.2311,-0.0659,-0.6553,0.4032,-0.0698,0.2482,0.9538,-0.0659,-0.6398,-0.7794,0.9151,0.4283,-0.1586,-1.3633,0.9348,-1.2128,-0.3000,0.1867,1.5164,-1.3025,1.3155,0.2826,-0.5859,1.2792,-2.1649,1.8436,1.6015,0.8673,-0.3859,-0.8078,0.0184,0.2500,0.17
0.2540,0.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.2357,-0.6643,-0.0052,0.2400,-0.1293,0.9621,0.4510,-0.0642,-1.3772,0.9373,-1.2737,-0.3659,0.1322,1.5192,-1.1648,1.2474,-0.1435,-1.0585,0.5816,-0.1939,0.0465,0.6669,0.6165,-0.1086,-1.5161,0.2016,0.4008,-0.1735,-1.3837,0.9358,-1.2057,-0.3000,0.2000,1.5577,-1.3364,1.2657,0.0076,-0.7349,1.9679,-2.6181,2.4399,1.5054,1.1935,0.3322,-1.0186,-0.5642,0.2778,0.19
