t,vx_cmd,vy_cmd,wz_cmd,lin_vx,lin_vy,lin_vz,gyro_x,gyro_y,gyro_z,projg_x,projg_y,projg_z,jpos_hip_yaw_l,jpos_hip_roll_l,jpos_hip_pitch_l,jpos_knee_pitch_l,jpos_ankle_pitch_l,jpos_hip_yaw_r,jpos_hip_roll_r,jpos_hip_pitch_r,jpos_knee_pitch_r,jpos_ankle_pitch_r,jvel_hip_yaw_l,jvel_hip_roll_l,jvel_hip_pitch_l,jvel_knee_pitch_l,jvel_ankle_pitch_l,jvel_hip_yaw_r,jvel_hip_roll_r,jvel_hip_pitch_r,jvel_knee_pitch_r,jvel_ankle_pitch_r,jtgt_hip_yaw_l,jtgt_hip_roll_l,jtgt_hip_pitch_l,jtgt_knee_pitch_l,jtgt_ankle_pitch_l,jtgt_hip_yaw_r,jtgt_hip_roll_r,jtgt_hip_pitch_r,jtgt_knee_pitch_r,jtgt_ankle_pitch_r,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,gait_phase,infer_ms
0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0213,-0.2977,0.0011,-0.3288,-0.0032,-0.9444,0.4031,-0.1019,-1.4851,0.9913,-1.2988,-0.4037,0.1069,1.5036,-1.0220,1.3033,-0.0465,0.0620,-0.0349,0.0659,0.0116,0.0427,-0.0271,-0.0388,0.0194,0.0194,0.5000,-0.2000,-1.3432,1.1052,-1.3282,-0.3000,0.1257,1.7263,-0.9408,1.3239,14.4113,-2.4484,-0.4287,1.1354,0.4171,1.1534,0.2572,0.5924,0.7252,1.2504,0.0278,0.66
0.0189,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0697,-0.3325,-0.3133,-0.3347,-0.0090,-0.9423,0.3876,-0.1110,-1.4865,0.9869,-1.3736,-0.3888,0.0907,1.4725,-0.9968,1.2193,-0.0000,-0.0194,-0.0194,0.0504,0.0427,0.0388,0.0039,0.0000,-0.0000,0.0000,0.5000,-0.1370,-1.3387,1.0859,-1.3371,-0.3000,0.2000,1.5874,-0.9083,1.2868,37.7867,-0.3701,-0.1797,0.7558,0.2566,1.5135,3.2229,-1.2700,2.5343,0.7290,0.0556,0.22
0.0389,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1836,-0.4377,-0.9451,-0.3414,-0.0109,-0.9399,0.4036,-0.1293,-1.4680,0.9982,-1.3751,-0.3720,0.0949,1.4927,-0.9944,1.2204,0.7987,-0.8259,0.4459,0.3567,-0.0155,0.9112,0.1512,0.7096,0.0116,-0.0310,0.5000,-0.1512,-1.2411,0.9471,-1.3505,-0.3000,0.2000,1.6078,-0.9031,1.3038,56.7381,-0.5116,1.0470,-0.6812,0.0515,2.1845,3.9284,-1.4521,4.9382,2.5907,0.0833,0.20
0.0600,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3332,-0.6457,-1.3742,-0.3538,-0.0118,-0.9352,0.4166,-0.1334,-1.4584,1.0000,-1.3756,-0.3557,0.1142,1.4930,-0.9892,1.2152,0.7134,-0.1396,0.4304,0.0271,0.0698,0.7677,0.8802,0.0000,0.3063,-0.2675,0.5000,-0.1618,-1.2615,0.9198,-1.2930,-0.3000,0.2000,1.6078,-0.9209,1.3562,72.1083,-0.6179,1.4812,-1.4974,0.5552,2.2568,4.8884,-1.9454,6.9389,3.3581,0.1111,0.19
0.0809,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.5981,-0.5048,-1.7979,-0.3647,-0.0145,-0.9310,0.4263,-0.1382,-1.4323,0.9784,-1.3767,-0.3413,0.1306,1.4959,-0.9841,1.2116,0.3490,-0.1900,1.5083,-1.0236,-0.0349,0.6243,0.7018,0.1047,0.2637,-0.2482,0.5000,-0.1870,-1.2819,0.9239,-1.2414,-0.3000,0.2000,1.5772,-0.9722,1.3689,83.8654,-0.8700,2.0098,-2.3177,1.2360,2.1161,5.5062,-2.2343,8.5388,3.9815,0.1389,0.20
0.0999,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.6049,-0.3515,-2.0033,-0.3697,-0.0184,-0.9290,0.4344,-0.1459,-1.4027,0.9562,-1.3730,-0.3295,0.1422,1.5017,-0.9798,1.2156,0.3916,-0.3141,1.3881,-0.8298,0.1357,0.5932,0.4498,0.2792,0.4149,0.0310,0.5000,-0.2000,-1.3022,0.9276,-1.2342,-0.3000,0.2000,1.5467,-1.0200,1.3813,93.0274,-1.2429,2.5225,-3.1059,1.8899,1.8724,5.9315,-2.3957,9.8621,4.5118,0.1667,0.19
0.1189,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.5253,-0.4339,-2.1503,-0.3752,-0.0259,-0.9266,0.4417,-0.1579,-1.3805,0.9429,-1.3630,-0.3208,0.1516,1.5062,-0.9797,1.2226,0.3877,-0.4653,1.0779,-0.5351,0.5390,0.4459,0.4575,0.2947,0.0853,0.3102,0.5000,-0.2000,-1.3226,0.9306,-1.2271,-0.3000,0.2000,1.5161,-1.0621,1.3931,100.2695,-1.6672,2.9585,-3.7467,2.5023,1.6371,6.1835,-2.5047,10.9557,4.9742,0.1944,0.19
0.1399,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.5417,-0.6112,-2.0273,-0.3843,-0.0293,-0.9227,0.4476,-0.1685,-1.3635,0.9368,-1.3515,-0.3135,0.1598,1.5106,-0.9839,1.2335,0.2986,-0.5157,0.8724,-0.1745,0.5971,0.4071,0.3839,0.3839,-0.1861,0.6049,0.5000,-0.2000,-1.3430,0.9331,-1.2200,-0.3000,0.2000,1.4856,-1.0966,1.4039,105.9021,-2.0808,3.3439,-4.2721,3.0299,1.4382,6.3104,-2.5469,11.8231,5.3661,0.2222,0.18
0.1599,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.5217,-0.7234,-1.7306,-0.3953,-0.0316,-0.9180,0.4540,-0.1781,-1.3491,0.9368,-1.3386,-0.3072,0.1672,1.5141,-0.9926,1.2496,0.3412,-0.3218,0.6785,0.2171,0.5390,0.3218,0.2714,0.2908,-0.2714,0.7289,0.5000,-0.2000,-1.3633,0.9348,-1.2128,-0.3000,0.2000,1.4550,-1.1217,1.4136,110.2578,-2.4472,3.6633,-4.7019,3.4340,1.2828,6.3882,-2.5647,12.4843,5.6873,0.2500,0.18
0.1809,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3766,-0.8221,-1.3550,-0.4085,-0.0345,-0.9121,0.4592,-0.1848,-1.3372,0.9408,-1.3285,-0.3031,0.1733,1.5165,-1.0011,1.2667,0.2365,-0.3179,0.6553,0.2559,0.5390,0.1745,0.3063,0.1435,-0.2947,0.7832,0.5000,-0.2000,-1.3837,0.9358,-1.2057,-0.3000,0.2000,1.4244,-1.1364,1.4221,113.5677,-2.7387,3.9297,-5.0744,3.7162,1.1588,6.4328,-2.5643,12.9885,5.9656,0.2778,0.17
