t,vx_cmd,vy_cmd,wz_cmd,lin_vx,lin_vy,lin_vz,gyro_x,gyro_y,gyro_z,projg_x,projg_y,projg_z,jpos_hip_yaw_l,jpos_hip_roll_l,jpos_hip_pitch_l,jpos_knee_pitch_l,jpos_ankle_pitch_l,jpos_hip_yaw_r,jpos_hip_roll_r,jpos_hip_pitch_r,jpos_knee_pitch_r,jpos_ankle_pitch_r,jvel_hip_yaw_l,jvel_hip_roll_l,jvel_hip_pitch_l,jvel_knee_pitch_l,jvel_ankle_pitch_l,jvel_hip_yaw_r,jvel_hip_roll_r,jvel_hip_pitch_r,jvel_knee_pitch_r,jvel_ankle_pitch_r,jtgt_hip_yaw_l,jtgt_hip_roll_l,jtgt_hip_pitch_l,jtgt_knee_pitch_l,jtgt_ankle_pitch_l,jtgt_hip_yaw_r,jtgt_hip_roll_r,jtgt_hip_pitch_r,jtgt_knee_pitch_r,jtgt_ankle_pitch_r,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,gait_phase,infer_ms
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0011,-0.0152,-0.0010,-0.1862,-0.0184,-0.9823,0.4110,-0.0984,-1.4706,0.9908,-1.2969,-0.4031,0.0872,1.4923,-1.0154,1.3007,0.0620,0.0194,-0.0233,-0.0310,0.0388,0.0039,-0.0543,-0.0931,0.0465,-0.0078,0.5000,-0.2000,-1.3493,1.0937,-1.2699,-0.3307,0.2000,1.6423,-1.0296,1.2362,12.2928,-1.0888,-0.4892,0.8850,1.0110,0.6932,1.0055,-0.2477,-0.1629,0.1232,0.0278,0.60
0.0199,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1061,-0.0812,-0.2921,-0.1855,-0.0199,-0.9824,0.3992,-0.0917,-1.4815,0.9798,-1.3449,-0.4005,0.1132,1.4842,-0.9820,1.2458,0.0349,0.0698,-0.0388,0.0388,0.0543,-0.0194,-0.0427,-0.0116,-0.0620,0.0504,0.5000,-0.1264,-1.3400,1.0308,-1.2627,-0.3528,0.2000,1.5874,-0.9083,1.2836,35.2585,-0.2644,-0.1921,0.2047,1.0825,0.4716,2.9003,-1.3186,2.1077,0.6974,0.0556,0.22
0.0410,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0117,-0.4156,-0.8645,-0.1933,-0.0205,-0.9809,0.4150,-0.1106,-1.4597,0.9901,-1.3393,-0.3897,0.1321,1.5055,-0.9922,1.2350,0.8453,-0.8647,0.8104,0.3451,0.4071,0.5196,0.9500,0.8569,-0.6708,-0.6049,0.5000,-0.2000,-1.2411,0.9152,-1.2684,-0.3000,0.2000,1.6078,-0.9031,1.3038,54.4878,-1.2017,1.2660,-1.2470,0.8716,1.2983,3.4991,-1.1939,4.8534,2.6791,0.0833,0.19
0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2855,-0.3429,-1.3000,-0.2021,-0.0193,-0.9792,0.4281,-0.1117,-1.4454,0.9865,-1.3313,-0.3818,0.1470,1.5075,-0.9839,1.2328,0.5739,-0.0504,0.7134,-0.0931,0.3877,0.3994,0.6630,-0.0659,0.3761,-0.1977,0.5000,-0.2000,-1.2615,0.9198,-1.2485,-0.3000,0.2000,1.6078,-0.9209,1.3562,70.3394,-1.4238,1.7486,-1.9645,1.4220,1.5398,4.5025,-1.7060,7.0460,3.3986,0.1111,0.17
0.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.4233,-0.0615,-1.7048,-0.2038,-0.0179,-0.9789,0.4395,-0.1270,-1.4112,0.9613,-1.3254,-0.3673,0.1594,1.5085,-0.9771,1.2319,0.5506,-0.7018,1.5277,-1.2097,0.1977,0.7600,0.5777,0.0116,0.4459,-0.1280,0.5000,-0.2000,-1.2819,0.9239,-1.2414,-0.3000,0.2000,1.5772,-0.9722,1.3689,82.7149,-1.8893,2.4060,-2.7871,2.2247,1.4688,5.0563,-1.9314,8.6607,4.1485,0.1389,0.20
0.0999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3242,-0.0029,-1.5978,-0.2028,-0.0190,-0.9790,0.4514,-0.1405,-1.3860,0.9424,-1.3207,-0.3517,0.1693,1.5112,-0.9722,1.2353,0.5661,-0.6475,1.1671,-0.8802,0.2016,0.7755,0.4304,0.1784,0.3296,0.0427,0.5000,-0.2000,-1.3022,0.9276,-1.2342,-0.3000,0.2000,1.5467,-1.0200,1.3813,92.3759,-2.3406,2.9799,-3.5612,2.9617,1.2190,5.4646,-2.0764,10.0226,4.7409,0.1667,0.18
0.1209,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3511,-0.0992,-1.4358,-0.2031,-0.0200,-0.9790,0.4608,-0.1530,-1.3673,0.9290,-1.3132,-0.3396,0.1772,1.5122,-0.9729,1.2400,0.3916,-0.5971,0.8608,-0.5002,0.3916,0.5157,0.3528,0.1124,0.0388,0.2908,0.5000,-0.2000,-1.3226,0.9306,-1.2271,-0.3053,0.2000,1.5161,-1.0621,1.3931,99.9045,-2.8302,3.4485,-4.1757,3.6081,0.9470,5.7091,-2.1765,11.0898,5.2190,0.1944,0.16
0.1399,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3479,-0.2832,-1.2231,-0.2070,-0.0196,-0.9782,0.4691,-0.1626,-1.3549,0.9237,-1.3045,-0.3311,0.1850,1.5125,-0.9798,1.2492,0.3567,-0.3567,0.6126,-0.1977,0.4575,0.3335,0.3722,0.0698,-0.2986,0.3645,0.5000,-0.2000,-1.3430,0.9331,-1.2200,-0.3289,0.2000,1.4856,-1.0966,1.4039,105.7500,-3.2050,3.8018,-4.6594,4.0946,0.7109,5.9056,-2.2672,11.9289,5.5931,0.2222,0.18
0.1609,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2244,-0.4548,-0.8374,-0.2153,-0.0191,-0.9764,0.4758,-0.1707,-1.3450,0.9226,-1.2951,-0.3257,0.1908,1.5115,-0.9906,1.2594,0.2830,-0.3451,0.4304,-0.0233,0.3955,0.2830,0.1822,0.0116,-0.4808,0.4110,0.5000,-0.2000,-1.3633,0.9348,-1.2128,-0.3486,0.2000,1.4550,-1.1217,1.4136,110.2073,-3.5263,4.1154,-5.0961,4.4668,0.5142,6.0209,-2.3085,12.5661,5.9182,0.2500,0.17
0.1799,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1300,-0.4892,-0.3341,-0.2247,-0.0195,-0.9742,0.4821,-0.1780,-1.3371,0.9247,-1.2872,-0.3257,0.1950,1.5072,-1.0056,1.2704,0.3684,-0.3257,0.3994,0.2288,0.3296,-0.0194,0.1473,-0.1551,-0.6708,0.4963,0.5000,-0.2000,-1.3837,0.9358,-1.2057,-0.3638,0.2000,1.4244,-1.1364,1.4221,113.5798,-3.8460,4.3871,-5.4634,4.7735,0.3616,6.0675,-2.3131,13.0206,6.1964,0.2778,0.16
