t,vx_cmd,vy_cmd,wz_cmd,lin_vx,lin_vy,lin_vz,gyro_x,gyro_y,gyro_z,projg_x,projg_y,projg_z,jpos_hip_yaw_l,jpos_hip_roll_l,jpos_hip_pitch_l,jpos_knee_pitch_l,jpos_ankle_pitch_l,jpos_hip_yaw_r,jpos_hip_roll_r,jpos_hip_pitch_r,jpos_knee_pitch_r,jpos_ankle_pitch_r,jvel_hip_yaw_l,jvel_hip_roll_l,jvel_hip_pitch_l,jvel_knee_pitch_l,jvel_ankle_pitch_l,jvel_hip_yaw_r,jvel_hip_roll_r,jvel_hip_pitch_r,jvel_knee_pitch_r,jvel_ankle_pitch_r,jtgt_hip_yaw_l,jtgt_hip_roll_l,jtgt_hip_pitch_l,jtgt_knee_pitch_l,jtgt_ankle_pitch_l,jtgt_hip_yaw_r,jtgt_hip_roll_r,jtgt_hip_pitch_r,jtgt_knee_pitch_r,jtgt_ankle_pitch_r,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,gait_phase,infer_ms
0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0004,-0.0196,0.0120,-0.1271,0.0032,-0.9919,0.3960,-0.1017,-1.4824,0.9796,-1.3440,-0.3992,0.1051,1.4809,-0.9848,1.2529,0.0039,-0.0194,-0.0349,-0.0116,-0.0155,0.0039,0.0039,-0.0349,0.0349,-0.0155,0.5000,-0.1586,-1.3596,1.1052,-1.2822,-0.3258,0.2000,1.6440,-1.1039,1.1789,10.2324,-0.5856,-0.5923,1.0778,0.8769,0.7422,1.5914,-0.2301,-0.9057,-0.4500,0.0278,0.59
0.0240,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0483,-0.1044,-0.0732,-0.1294,0.0092,-0.9916,0.4075,-0.1090,-1.4664,0.9893,-1.3412,-0.3911,0.1163,1.4984,-0.9973,1.2393,0.7716,-0.4808,0.7600,0.5079,0.2365,0.5467,0.8065,1.0702,-1.1942,-1.2059,0.5000,-0.1040,-1.3624,1.0312,-1.2779,-0.3432,0.2000,1.5874,-0.9083,1.3086,32.5746,-0.0403,-0.4165,0.2089,0.8485,0.5684,2.6552,-1.3715,1.1800,0.9469,0.0556,0.22
0.0489,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0471,-0.5985,-0.8889,-0.1392,0.0068,-0.9902,0.4247,-0.1139,-1.4527,0.9916,-1.3338,-0.3787,0.1360,1.5131,-1.0085,1.2309,0.6087,0.1435,0.6243,-0.0775,0.3567,0.4692,0.7328,-0.0853,0.2249,0.3373,0.5000,-0.2000,-1.2411,0.9152,-1.2850,-0.3000,0.2000,1.6078,-0.9031,1.3038,52.3020,-1.6640,1.1514,-1.1301,0.7065,1.4851,3.2922,-1.0696,4.3189,2.5840,0.0833,0.20
0.0739,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1959,-0.4510,-1.1717,-0.1529,0.0058,-0.9882,0.4393,-0.1250,-1.4202,0.9763,-1.3287,-0.3635,0.1508,1.5126,-0.9982,1.2344,0.5506,-0.8375,1.5936,-1.4152,0.2326,0.6902,0.5312,0.0233,0.6902,-0.0116,0.5000,-0.2000,-1.2615,0.9198,-1.2485,-0.3000,0.2000,1.6078,-0.9209,1.3562,68.7713,-1.8335,1.7601,-1.9100,1.4423,1.6677,4.2582,-1.6017,6.8357,3.4336,0.1111,0.21
0.0989,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3568,-0.0801,-1.6624,-0.1559,0.0078,-0.9877,0.4522,-0.1449,-1.3871,0.9488,-1.3230,-0.3453,0.1638,1.5145,-0.9848,1.2351,0.5622,-0.7561,1.0857,-0.9422,0.2520,0.7173,0.3296,0.1977,0.4343,-0.0078,0.5000,-0.2000,-1.2819,0.9239,-1.2414,-0.3000,0.2000,1.5772,-0.9722,1.3689,81.7458,-2.2006,2.4104,-2.7086,2.3044,1.5793,4.9008,-1.8372,8.5239,4.1132,0.1389,0.20
0.1229,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3311,-0.1306,-1.4882,-0.1601,0.0098,-0.9870,0.4623,-0.1607,-1.3611,0.9299,-1.3148,-0.3315,0.1716,1.5169,-0.9797,1.2398,0.3722,-0.5079,0.7949,-0.3916,0.4110,0.4924,0.2520,0.0775,-0.0465,0.1977,0.5000,-0.2000,-1.3022,0.9276,-1.2342,-0.3000,0.2000,1.5467,-1.0200,1.3813,91.8366,-2.6192,3.0005,-3.5001,3.0699,1.3146,5.3151,-1.9859,9.9170,4.7265,0.1667,0.19
0.1459,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3685,-0.2288,-1.3736,-0.1659,0.0117,-0.9861,0.4704,-0.1716,-1.3455,0.9229,-1.3058,-0.3228,0.1785,1.5184,-0.9829,1.2496,0.3994,-0.4614,0.5312,-0.2133,0.4110,0.2753,0.2055,0.0737,-0.3179,0.4381,0.5000,-0.2000,-1.3226,0.9306,-1.2271,-0.3000,0.2000,1.5161,-1.0621,1.3931,99.6781,-3.0521,3.4645,-4.1286,3.6855,1.0504,5.5917,-2.1105,11.0307,5.2244,0.1944,0.19
0.1699,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3239,-0.4364,-1.1599,-0.1760,0.0140,-0.9843,0.4761,-0.1811,-1.3341,0.9207,-1.2981,-0.3163,0.1836,1.5180,-0.9924,1.2607,0.2598,-0.3373,0.3722,-0.0116,0.2714,0.2598,0.2210,-0.0969,-0.3877,0.4381,0.5000,-0.2000,-1.3430,0.9331,-1.2200,-0.3176,0.2000,1.4856,-1.0966,1.4039,105.7177,-3.4003,3.8301,-4.6502,4.1469,0.8244,5.8008,-2.2018,11.9013,5.6267,0.2222,0.18
0.1939,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1853,-0.6095,-0.8039,-0.1912,0.0139,-0.9815,0.4817,-0.1882,-1.3249,0.9230,-1.2912,-0.3125,0.1881,1.5141,-1.0063,1.2724,0.2753,-0.2559,0.3218,0.2288,0.3335,0.0659,0.1396,-0.2559,-0.6824,0.4343,0.5000,-0.2000,-1.3633,0.9348,-1.2128,-0.3361,0.2000,1.4550,-1.1217,1.4136,110.3280,-3.6909,4.1310,-5.0859,4.5063,0.6393,5.9361,-2.2619,12.5667,5.9543,0.2500,0.17
0.2189,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1010,-0.6662,-0.2612,-0.2076,0.0140,-0.9781,0.4866,-0.1932,-1.3178,0.9289,-1.2859,-0.3135,0.1910,1.5058,-1.0233,1.2861,0.1667,-0.1318,0.1435,0.2830,0.1977,-0.0698,0.0698,-0.3955,-0.6514,0.5428,0.5000,-0.2000,-1.3837,0.9358,-1.2057,-0.3508,0.2000,1.4244,-1.1364,1.4221,113.7451,-3.9650,4.3974,-5.4616,4.7650,0.4919,6.0105,-2.2756,13.0235,6.2341,0.2778,0.18
